dt,VitesseOrientation,posX,PosY,batterie
0,0,0,0,0,50
0.1,0,0,0,0,50
0.2,0,0,0,0,50
0.3,0,0,0,0,50
0.4,0,0,0,0,50
0.5,0,0,0,0,50
0.6,0,0,0,0,50
0.7,0,0,0,0,50
0.8,0,0,0,0,50
0.9,0,0,0,0,50
1,0,0,0,0,50
1.1,0,0,0,0,50
1.2,0,0,0,0,50
1.3,0,0,0,0,50
1.4,0,0,0,0,50
1.5,0,0,0,0,50
1.6,0,0,0,0,50
1.7,0,0,0,0,50
1.8,3.28,-94.553,0,0,49.9994
1.9,6.4432,-46.7445,-0.908236,-0.072325,49.9982
2,9.49333,-26.8472,-2.21174,1.15412,49.9964
2.1,12.434,-18.5924,-3.40266,3.50692,49.9941
2.2,15.2687,-15.0775,-4.50388,6.78056,49.9913
2.3,18.001,-13.7624,-5.60715,10.8759,49.988
2.4,20.634,-13.0831,-6.7967,15.7326,49.9842
2.5,23.171,-13.0026,-8.09414,21.3155,49.9799
2.6,25.6152,-13.0186,-9.5423,27.5868,49.9751
2.7,27.9696,-13.0589,-11.1452,34.5193,49.9699
2.8,30.2371,-13.2074,-12.9007,42.0877,49.9643
2.9,32.4205,-13.2856,-14.8197,50.2647,49.9583
3,34.5228,-13.3007,-16.8892,59.0294,49.9519
3.1,36.5464,-13.4867,-19.0955,68.3618,49.9452
3.2,38.4941,-13.5487,-21.4631,78.2337,49.938
3.3,40.3685,-13.5402,-23.9681,88.6289,49.9306
3.4,42.1718,-13.655,-26.5935,99.5307,49.9228
3.5,43.9066,-13.8397,-29.3589,110.914,49.9146
3.6,45.5751,-13.8821,-32.2764,122.756,49.9062
3.7,47.1797,-13.8486,-35.3137,135.046,49.8975
3.8,48.7223,-14.0685,-38.4506,147.771,49.8884
3.9,50.2053,-14.1103,-41.7405,160.899,49.8791
4,51.6305,-14.0678,-45.1403,174.424,49.8696
4.1,53,-14.1871,-48.6264,188.336,49.8598
4.2,54.3157,-14.3911,-52.2347,202.609,49.8497
4.3,55.5795,-14.4174,-55.9845,217.223,49.8394
4.4,56.7931,-14.4741,-59.8285,232.176,49.8289
4.5,57.9583,-14.42,-63.7716,247.451,49.8182
4.6,59.0768,-14.66,-67.7808,263.043,49.8072
4.7,60.1503,-14.6932,-71.934,278.919,49.7961
4.8,61.1803,-14.6274,-76.1719,295.081,49.7848
4.9,62.1683,-14.7487,-80.4636,311.525,49.7732
5,63.1158,-14.8434,-84.86,328.225,49.7616
5.1,64.0244,-15.0382,-89.3513,345.172,49.7497
5.2,64.8953,-14.9216,-93.9657,362.347,49.7377
5.3,65.7299,-15.0305,-98.6075,379.766,49.7255
5.4,66.5296,-15.1114,-103.342,397.4,49.7132
5.5,67.2955,-15.3048,-108.16,415.241,49.7007
5.6,68.029,-15.1782,-113.094,433.271,49.6881
5.7,68.7311,-15.4163,-118.042,451.509,49.6754
5.8,69.4031,-15.4278,-123.117,469.914,49.6625
5.9,70.0461,-15.3356,-128.246,488.498,49.6496
6,71.0461,-15.5839,-133.392,507.262,49.6364
6.1,72.0461,-15.5971,-138.694,526.272,49.6231
6.2,73.0461,-15.5085,-144.074,545.548,49.6095
