dt,Vitesse,Orientation,batterie
0,0,0,0
0.1,0,0,0
0.2,0,0,0
0.3,0,0,0
0.4,0,0,0
0.5,0,0,0
0.6,0,0,0
0.7,0,0,0
0.8,0,0,0
0.9,0,0,0
1,0,0,0
1.1,0,0,0
1.2,0,0,0
1.3,0,0,0
1.4,0,0,0
1.5,0,0,0
1.6,80,-17.1603,0
1.7,80,-17.1603,0
1.8,80,-17.1603,0
1.9,80,-17.1603,0
2,80,-17.1392,0
2.1,80,-17.1392,0
2.2,80,-17.1076,0
2.3,80,-17.1076,0
2.4,80,-17.1091,0
2.5,80,-17.1091,0
2.6,80,-17.1257,0
2.7,80,-17.1368,0
2.8,80,-17.1368,0
2.9,80,-17.1625,0
3,80,-17.1765,0
3.1,80,-17.1765,0
3.2,80,-17.1914,0
3.3,80,-17.2234,0
3.4,80,-17.2403,0
3.5,80,-17.2403,0
3.6,80,-17.2766,0
3.7,80,-17.2949,0
3.8,80,-17.2949,0
3.9,80,-17.3138,0
4,80,-17.3535,0
4.1,80,-17.3737,0
4.2,80,-17.395,0
4.3,80,-17.395,0
4.4,80,-17.4372,0
4.5,80,-17.4586,0
4.6,80,-17.4586,0
4.7,80,-17.4804,0
4.8,80,-17.5033,0
4.9,80,-17.5476,0
5,80,-17.5476,0
5.1,80,-17.5713,0
5.2,80,-17.5948,0
5.3,80,-17.6406,0
5.4,80,-17.6406,0
5.5,80,-17.6888,0
5.6,80,-17.7127,0
5.7,80,-17.7127,0
5.8,80,-17.7604,0
5.9,80,-17.7835,0
6,80,-17.7835,0
6.1,80,-17.8073,0
6.2,80,-17.8564,0
6.3,80,-17.8808,0
6.4,80,-17.907,0
6.5,80,-17.9329,0
6.6,80,-17.9572,0
6.7,80,-17.9572,0
6.8,80,-18.0079,0
6.9,80,-18.0339,0
7,80,-18.0339,0
7.1,80,-18.0888,0
7.2,80,-18.1145,0
7.3,80,-18.1145,0
7.4,80,-18.169,0
7.5,80,-18.1943,0
7.6,80,-18.1943,0
7.7,80,-18.2486,0
7.79999,80,-18.2737,0
7.89999,80,-18.2737,0
7.99999,80,-18.3281,0
8.09999,80,-18.3533,0
8.2,80,-18.3533,0
8.3,80,-18.4079,0
8.4,80,-18.4331,0
8.5,80,-18.4331,0
8.6,80,-18.4881,0
8.7,80,-18.5133,0
8.8,80,-18.5133,0
8.9,80,-18.5396,0
9,80,-18.5943,0
9.1,80,-18.6208,0
9.2,80,-18.6208,0
9.3,80,-18.6791,0
9.4,80,-18.7045,0
9.5,80,-18.7313,0
9.6,80,-18.7616,0
9.7,80,-18.7875,0
